"chromosome" "gene.start" "gene.end"
"4869" "chr10" 80342560 80362239
"13610" "chr13" 110535468 110538057
"34758" "chr4" 126698578 126708040
"39420" "chr5" 116376097 116456350
"21045" "chr17" 29502360 29516498
"48902" "chr7" 150174873 150193938
"1768" "chr1" 133025017 133034811
"31775" "chr3" 94914963 94926973
"29852" "chr2" 166391844 166407571
"37413" "chr5" 31172019 31179840
"40367" "chr5" 125517643 125538770
"51948" "chr8" 123012765 123105277
"20847" "chr17" 28369698 28438414
"40360" "chr5" 125528171 125536358
"50387" "chr8" 74842931 74845248
"25697" "chr19" 45079503 45080932
"53466" "chr9" 21300942 21300964
"4049" "chr10" 60937421 60939429
"37319" "chr5" 29799801 29805010
"15489" "chr15" 42852340 43002372
"22895" "chr17" 86567748 87054029
"52950" "chr8" 127578094 127785051
"10480" "chr12" 8778201 8800493
"21647" "chr17" 36016763 36029613
"23515" "chr18" 37966063 38001526
"15614" "chr15" 59480208 59488654
"16487" "chr15" 81296745 81306799
"23071" "chr18" 5114278 5119288
"9990" "chr11" 119223530 119242390
"31889" "chr3" 96531586 96595075
"10347" "chr12" 4599813 4720758
"11976" "chr12" 107138050 107140231
"47000" "chr7" 88358689 88478508
"43410" "chr6" 88453600 88468794
"39717" "chr5" 120984165 121005230
"25263" "chr19" 29560844 29597649
"14044" "chr14" 26661655 26706284
"18506" "chr16" 23965137 23988698
"25966" "chr19" 47587471 47591068
"10045" "chr11" 119804405 119868093
"45742" "chr7" 31438730 31449988
"34720" "chr4" 125993594 125998947
"32446" "chr3" 123071214 123088866
"5670" "chr10" 126485305 126490062
"1085" "chr1" 88976745 88992993
"31766" "chr3" 94810623 94819160
"14346" "chr14" 51690070 51691066
"2000" "chr1" 135603233 135611807
"28831" "chr2" 151368234 151387427
"2821" "chr1" 172981771 172989529
"13159" "chr13" 56710963 56740700
"33807" "chr4" 97577723 97709286
"20409" "chr17" 25716133 25799668
"15116" "chr14" 122433895 122437644
"49976" "chr8" 63702967 63874869
"32861" "chr4" 16091231 16193372
"4871" "chr10" 80342560 80353455
"19677" "chr16" 94350911 94509533
"7592" "chr11" 71881303 71949391
"25494" "chr19" 41557518 41634271
"48904" "chr7" 150219493 150238995
"2109" "chr1" 136605876 136645994
"4505" "chr10" 78989173 78996487
"11091" "chr12" 74465061 74510544
"11820" "chr12" 102984774 103057265
"10631" "chr12" 25393147 25398972
"19009" "chr16" 36041275 36043060
"33206" "chr4" 44544377 44723312
"36670" "chr4" 151460980 151489503
"36847" "chr4" 154728729 154735500
"44063" "chr6" 116214252 116279644
"32265" "chr3" 108237314 108248087
"18066" "chr16" 11405740 11755565
"16738" "chr15" 83906526 83936184
"15837" "chr15" 73627165 73670101
"77" "chr1" 23852465 23929128
"22660" "chr17" 79451245 79489583
"20654" "chr17" 27259609 27270836
"25920" "chr19" 47303400 47333931
"45468" "chr7" 29135768 29137715
"55369" "chr9" 108472222 108475102
"55464" "chr9" 110559006 110614058
"50435" "chr8" 79774264 80041806
"31568" "chr3" 89013010 89017827
"33300" "chr4" 45903235 45922439
"4840" "chr10" 80169722 80204956
"54673" "chr9" 71352153 71440167
"11059" "chr12" 73078617 73093354
"11342" "chr12" 83357571 83551258
"32163" "chr3" 107241220 107261816
"41114" "chr5" 139231053 139286017
"50664" "chr8" 87358550 87364540
"9249" "chr11" 105946215 106016748
"39873" "chr5" 122345417 122366743
"33887" "chr4" 104707594 104782474
"8625" "chr11" 97488700 97491030
"35437" "chr4" 134358675 134367233
"23873" "chr18" 64616203 64648720
"33651" "chr4" 63221393 63247387
"17828" "chr16" 5050160 5086378
"10295" "chr12" 3891743 3914443
"5212" "chr10" 84218792 84369283
"51779" "chr8" 122386204 122400889
"36546" "chr4" 150003504 150026283
"18418" "chr16" 21247571 21296945
"5911" "chr11" 3417525 3427940
"40159" "chr5" 124454649 124482269
"20908" "chr17" 28667805 28676052
"30490" "chr2" 179854070 179897385
"32837" "chr4" 13711928 13817776
"28466" "chr2" 125517645 125549884
"17342" "chr15" 98957275 99042897
"25406" "chr19" 38171568 38188753
"11858" "chr12" 103632307 103661979
"52774" "chr8" 126547359 126572404
"41180" "chr5" 139729468 139746004
"31483" "chr3" 88140181 88166259
"55414" "chr9" 108941140 108960280
"26146" "chr19" 55327858 55371118
"22395" "chr17" 64213329 64387937
"23029" "chr17" 88929600 88987705
"37037" "chr5" 22999077 23000703
"52857" "chr8" 127044726 127075907
"54949" "chr9" 95607047 95650777
"27345" "chr2" 33071480 33103234
"10796" "chr12" 34000282 34057222
"34511" "chr4" 120370077 120419781
"702" "chr1" 72757863 72760259
"3458" "chr1" 195172539 195196476
"32533" "chr3" 135247618 135271410
"8742" "chr11" 98603186 98630320
"53228" "chr8" 130979384 131012012
"18443" "chr16" 21649117 21694687
"3875" "chr10" 57206291 57232941
"53551" "chr9" 21763342 21768020
"45445" "chr7" 28965334 28972313
"50730" "chr8" 89368218 89409139
"11899" "chr12" 104559351 104573794
"13811" "chr14" 21514189 21519419
"29896" "chr2" 166469881 166539332
"30190" "chr2" 167906784 167924710
"11579" "chr12" 88019649 88033041
"48915" "chr7" 150293158 150612947
"30238" "chr2" 169935578 169956720
"21763" "chr17" 45660382 45679626
"45651" "chr7" 30645029 30661846
"35225" "chr4" 132686547 132754245
"55570" "chr9" 114640320 114658461
"28028" "chr2" 92205208 92211050
"18344" "chr16" 20233381 20241431
"29517" "chr2" 160734088 160736600
"8870" "chr11" 100484268 100488916
"1960" "chr1" 135142682 135198226
"45239" "chr7" 26164545 26174243
"6519" "chr11" 50764307 50767134
"15081" "chr14" 121434795 121682948
"50162" "chr8" 73063573 73116757
"34017" "chr4" 106881784 106890519
"32" "chr1" 10127587 10222751
"5666" "chr10" 126466277 126467870
"17466" "chr15" 99984826 100046097
"39005" "chr5" 114192454 114221658
"4050" "chr10" 61076756 61086098
"197" "chr1" 36364598 36379820
"28126" "chr2" 102913831 102932776
"15390" "chr15" 36306306 36319927
"13945" "chr14" 25959280 25962727
"30422" "chr2" 179177271 179631110
"45382" "chr7" 28271971 28275333
"52735" "chr8" 126268530 126278128
"51093" "chr8" 108292207 108351250
"25172" "chr19" 23992042 23995904
"16378" "chr15" 79591885 79604866
"15238" "chr15" 11894097 11899838
"17397" "chr15" 99340550 99358448
"39228" "chr5" 115119510 115140944
"17050" "chr15" 86328061 86328294
"7250" "chr11" 68005694 68009655
"29901" "chr2" 166469881 166539332
"6867" "chr11" 59274698 59285976
"41886" "chr5" 148894463 149045200
"46373" "chr7" 54101212 54110996
"7060" "chr11" 61330750 61393153
"32798" "chr4" 10801754 10826570
"33447" "chr4" 53453528 53635350
"26785" "chr2" 27395948 27401608
"20596" "chr17" 26975609 26978510
"16363" "chr15" 79554500 79572960
"5585" "chr10" 120820170 120834301
"45189" "chr7" 26027578 26035684
"13927" "chr14" 25184649 25184679
"23191" "chr18" 13845867 14130229
"30577" "chr2" 180402992 180410660
"24321" "chr19" 3768021 3816391
"13393" "chr13" 91600693 91843021
"18004" "chr16" 10783901 10785629
"48986" "chr7" 150981498 151008746
"8972" "chr11" 101443612 101453099
"6678" "chr11" 55027296 55046208
"18407" "chr16" 21216889 21223377
"24899" "chr19" 7495038 7500394
"1303" "chr1" 93437141 93456167
"26335" "chr2" 3246220 3249863
"21306" "chr17" 32185229 32197549
"52479" "chr8" 125091914 125097030
"28078" "chr2" 93653555 93661838
"47514" "chr7" 109245394 109248157
"15436" "chr15" 38224167 38230462
"22308" "chr17" 56857203 56862250
"2200" "chr1" 137355223 137407028
"714" "chr1" 73437958 73454143
"41044" "chr5" 137965189 137969163
"11067" "chr12" 73312738 73336726
"47567" "chr7" 116154393 116177973
"13005" "chr13" 51942063 51943843
"26690" "chr2" 26264950 26300736
"46129" "chr7" 52439045 52460262
"18801" "chr16" 32843083 32877852
"36487" "chr4" 149270392 149283840
"31319" "chr3" 84299985 84386547
"16139" "chr15" 77989892 78004538
"11047" "chr12" 72932064 73093354
"16046" "chr15" 76545705 76552603
"37655" "chr5" 34976295 34979763
"35909" "chr4" 139178924 139205602
"53827" "chr9" 41772806 41776550
"3092" "chr1" 183023553 183074288
"44649" "chr7" 3568974 3571763
"48637" "chr7" 146434380 146453152
"55832" "chr9" 121861851 121887803
"11300" "chr12" 81619976 81704883
"4356" "chr10" 76171536 76188789
"9234" "chr11" 105763296 105777352
"54975" "chr9" 96446665 96531955
"32625" "chr3" 145587341 145597247
"46195" "chr7" 52728932 52744166
"52667" "chr8" 125874150 125893418
"17642" "chr15" 102034078 102046032
"2752" "chr1" 170266121 170267450
"765" "chr1" 74172114 74194797
"37091" "chr5" 23870636 23890289
"48907" "chr7" 150255272 150256992
"14085" "chr14" 31292750 31340242
"50743" "chr8" 90796301 90853860
"20961" "chr17" 29089410 29104882
"54470" "chr9" 63800949 63869128
"11784" "chr12" 101539746 101759002
"55462" "chr9" 110528237 110531253
"36441" "chr4" 148739509 148800798
"39920" "chr5" 122558064 122588071
"32822" "chr4" 11506808 11514738
"26619" "chr2" 25854066 25863473
"42124" "chr6" 15135505 15391977
