"chromosome" "start" "end"
"83" "chr1" 123200929 123224255
"637" "chr19" 45619240 45620834
"401" "chr14" 22803183 22808823
"932" "chr6" 113017426 113027185
"1099" "chr8" 119970878 119983323
"642" "chr19" 46968008 47036798
"1179" "chr8" 125299477 125304535
"1129" "chr8" 122690297 122701369
"1238" "chr8" 128108537 128149505
"608" "chr19" 4962314 4964943
"703" "chr3" 94810623 94819160
"765" "chr5" 15440605 15876869
"1137" "chr8" 123012765 123105277
"300" "chr12" 10376849 10396975
"233" "chr11" 61589161 61668119
"1284" "chr8" 130666469 130821371
"898" "chr6" 47502384 47545337
"134" "chr1" 152409631 152840565
"669" "chr2" 80341451 80421122
"726" "chr4" 8462790 8534849
"606" "chr18" 65210693 65372961
"935" "chr6" 114593142 114809954
"1276" "chr8" 129823507 129957044
"644" "chr19" 53218486 53321577
"1254" "chr8" 129114584 129117306
"197" "chr10" 93103945 93208631
"797" "chr5" 36100579 36227619
"730" "chr4" 19536819 19636140
"1032" "chr7" 146248505 146269875
"194" "chr10" 80491284 80496678
"412" "chr14" 31292750 31340242
"1273" "chr8" 129588144 130134730
"1188" "chr8" 125736757 125745945
"602" "chr18" 13165498 13181391
"187" "chr10" 62892845 64465690
"119" "chr1" 136456771 136529454
"1101" "chr8" 120807654 121847348
"975" "chr7" 74367501 74373342
"679" "chr2" 157000721 157030255
"271" "chr12" 3247429 3309933
"171" "chr1" 180867240 180869330
"1067" "chr8" 80737240 80918225
"409" "chr14" 26661655 26706284
"68" "chr1" 120285634 120506039
"9" "chr1" 35936689 35937964
"477" "chr16" 11803813 11909516
"626" "chr19" 32463705 32465673
"428" "chr15" 7090540 7141218
"596" "chr17" 81772444 82137717
"1077" "chr8" 107138046 107148161
"662" "chr2" 44839153 44965764
"778" "chr5" 25021884 25023845
"538" "chr17" 17757467 17761575
"615" "chr19" 5989991 6015779
"99" "chr1" 132950280 132994120
"698" "chr3" 79448637 79541716
"891" "chr6" 37281020 37392139
"85" "chr1" 127289482 127332067
"84" "chr1" 123450415 123464505
"1248" "chr8" 128946427 128949334
"944" "chr7" 19930454 19941871
"808" "chr5" 38651613 38660857
"15" "chr1" 37935734 37947256
"922" "chr6" 92119516 92134017
"1156" "chr8" 124123367 124175833
"981" "chr7" 80649873 80686632
"736" "chr4" 57581153 57730000
"16" "chr1" 39044658 39054081
"142" "chr1" 157367302 157374238
"1294" "chr8" 130979384 131012012
"420" "chr14" 73909855 73918352
"1135" "chr8" 123012765 123105277
"900" "chr6" 48504808 48519096
"122" "chr1" 136882929 137001853
"789" "chr5" 33943001 33972004
"179" "chr1" 192886909 192908437
"372" "chr13" 11863305 12199212
"558" "chr17" 34092826 34103433
"184" "chr10" 13243921 13272900
"260" "chr11" 96928194 96930218
