"chromosome" "gene.start" "gene.end"
"7409" "chr16" 5195385 5204092
"7512" "chr16" 11313901 11320161
"8933" "chr17" 66132755 66191186
"9199" "chr18" 6488890 6490842
"8996" "chr17" 73267665 73291282
"18619" "chr8" 64406885 64516492
"12199" "chr3" 116265939 116286052
"13609" "chr5" 4753838 4757971
"10608" "chr2" 59038829 59053517
"705" "chr1" 78654448 78703562
"4615" "chr12" 15823808 15894961
"1159" "chr1" 127289482 127332067
"14915" "chr5" 122872489 122894588
"5652" "chr13" 48897118 48927494
"12145" "chr3" 107466037 107473492
"19283" "chr8" 125431834 125498692
"19648" "chr8" 130882998 131027247
"18447" "chr8" 37157914 37210598
"9068" "chr17" 79733364 79754431
"17576" "chr7" 112880722 112885014
"18854" "chr8" 107872157 107893781
"6332" "chr14" 63741301 63764758
"4394" "chr12" 5085899 5382488
"3205" "chr11" 12214516 12237133
"1996" "chr1" 166367397 166388486
"7131" "chr15" 81718657 81756594
"1847" "chr1" 155004438 155033577
"7637" "chr16" 20733199 20742455
"11145" "chr2" 152052648 152080057
"19870" "chr9" 26908252 26962965
"13498" "chr4" 144494620 144521129
"14665" "chr5" 104034729 104058422
"9171" "chr18" 3507954 3516402
"20521" "chr9" 120864931 120869625
"16297" "chr6" 90963063 91005411
"12795" "chr4" 57581153 57730000
"2690" "chr10" 66558872 66689667
"7761" "chr16" 28826261 28929784
"19267" "chr8" 125153890 125202075
"10556" "chr2" 38443565 38499426
"8660" "chr17" 32491005 32506361
"6696" "chr15" 39794194 39798570
"19241" "chr8" 124806040 124861147
"195" "chr1" 39957757 40083155
"16042" "chr6" 72253241 72264364
"18743" "chr8" 86590764 86620899
"1112" "chr1" 122371114 122401661
"10352" "chr2" 19120744 19231861
"13725" "chr5" 22999077 23000703
"16674" "chr6" 127911758 127912495
"15366" "chr5" 150628909 150628954
"10528" "chr2" 35992186 36045390
"3614" "chr11" 62945011 62973048
"20564" "chr9" 123715594 123720872
"11528" "chr3" 20008479 20018376
"7918" "chr16" 37539979 37572471
"11150" "chr2" 152219347 152223782
"17407" "chr7" 104457915 104464504
"13439" "chr4" 134123805 134259681
"5102" "chr12" 81268533 81273131
"17227" "chr7" 82892493 82894353
"6365" "chr14" 66019509 66044046
"14520" "chr5" 89846546 89886790
"11780" "chr3" 65633037 65676203
"5787" "chr13" 94204156 94269644
"6103" "chr14" 26261126 26272713
"9710" "chr19" 7131299 7272547
"2799" "chr10" 79689342 79707889
"6302" "chr14" 58535116 58618099
"18660" "chr8" 73063573 73116757
"8849" "chr17" 50648741 50827795
"8469" "chr17" 25162494 25231772
"17215" "chr7" 81420303 81699666
"13169" "chr4" 114079328 114287703
"4391" "chr12" 4976157 5020849
"13210" "chr4" 116393570 116476842
"4144" "chr11" 103217014 103222406
"18041" "chr7" 135206153 135271674
"20370" "chr9" 102891041 102923105
"16560" "chr6" 114593142 114809954
"239" "chr1" 43502595 43627357
"2394" "chr1" 191942139 191945026
"4208" "chr11" 109312169 109334543
"10515" "chr2" 35438359 35586512
"8978" "chr17" 72092894 72102225
"5655" "chr13" 48897118 48927494
"12713" "chr4" 53838933 53873461
"12437" "chr4" 6323372 6381408
"16287" "chr6" 90963063 91005411
"12939" "chr4" 86302468 86315963
"9401" "chr18" 46517525 46586697
"5608" "chr13" 42147389 42280395
"12374" "chr3" 148478549 148486015
"12542" "chr4" 33150086 33182840
"18130" "chr7" 143460006 143510194
"16798" "chr7" 17038127 17040839
"6568" "chr15" 8478950 8482788
"15259" "chr5" 145637363 145726699
"7078" "chr15" 77199923 77201440
"1691" "chr1" 138110107 138130841
"15623" "chr6" 32461147 32465576
"12343" "chr3" 144349875 144352261
"10445" "chr2" 29857750 29886970
"14172" "chr5" 38740511 38871545
"5137" "chr12" 83271165 83443486
"20440" "chr9" 111095544 111127829
"12563" "chr4" 40429872 40472581
"988" "chr1" 106665395 106892058
"9716" "chr19" 7372147 7379018
"16588" "chr6" 115494721 115528354
"5744" "chr13" 76393394 76409906
"17252" "chr7" 87239733 87243219
"10278" "chr19" 57727412 58207830
"2923" "chr10" 94202801 94253081
"9480" "chr18" 57116741 57134975
"8725" "chr17" 37079995 37084931
"10027" "chr19" 40321781 40346023
"15315" "chr5" 149146067 149204391
"16477" "chr6" 108015039 108027116
"11445" "chr2" 178165311 178222071
"4778" "chr12" 33744550 33746661
"3138" "chr11" 4665850 4749530
"3600" "chr11" 62812616 62817636
