"chromosome" "start" "end"
"685" "chr17" 15196307 15211957
"1189" "chr6" 24478143 24520984
"700" "chr17" 10649081 10666989
"601" "chr16" 45747822 45844491
"480" "chr13" 29124262 29126901
"936" "chr3" 116564609 116606559
"543" "chr15" 59975824 60018963
"636" "chr16" 16213437 16272805
"1487" "chr9" 23027519 23289646
"1085" "chr5" 149076792 149125658
"925" "chr3" 96836338 96857557
"432" "chr13" 16036596 16115256
"1106" "chr5" 141235897 141306385
"197" "chr10" 24315312 24318486
"271" "chr11" 3034628 3093466
"262" "chr11" 20531979 20553026
"199" "chr10" 17516024 17565469
"493" "chr14" 102280019 102325526
"1117" "chr5" 54496459 54511442
"678" "chr17" 25608534 25613539
"300" "chr12" 10376849 10396975
"1427" "chr8" 29762521 30330108
"565" "chr15" 10530047 10537246
"793" "chr19" 57116399 57271982
"682" "chr17" 43775801 43779076
"984" "chr4" 107640938 107686134
"1158" "chr6" 36337380 36338917
"629" "chr16" 7069927 7411611
"237" "chr11" 22734746 22759680
"960" "chr4" 130556746 130566389
"153" "chr1" 122499063 122504568
"473" "chr13" 60306831 60317379
"65" "chr1" 134212714 134230065
"521" "chr14" 77077385 77086909
"427" "chr12" 39510297 39594790
"1157" "chr6" 36665662 36761361
"220" "chr10" 120701208 120731813
"653" "chr17" 9943616 9968732
"1254" "chr7" 81420303 81699666
"213" "chr10" 119798330 119913991
"282" "chr11" 45869488 45960844
"1118" "chr5" 137173719 137176964
"1180" "chr6" 88669234 88673213
"937" "chr3" 52786087 52798231
"1346" "chr8" 122526625 122575308
"703" "chr17" 14035830 14042801
"608" "chr16" 22245813 22266002
"1379" "chr8" 130666469 130821371
"996" "chr4" 104707594 104782474
"1335" "chr8" 114234374 114267709
"105" "chr1" 136882929 137001853
"170" "chr10" 110037705 110053017
"853" "chr2" 103962925 103964903
"792" "chr19" 44030797 44061010
"613" "chr16" 84718525 84735426
"993" "chr4" 45436147 45495674
"1255" "chr7" 53450726 53493860
"1412" "chr8" 123651584 123654544
"171" "chr10" 94780880 94786992
"449" "chr13" 26397672 26404275
"311" "chr12" 72641593 72657120
"345" "chr12" 9581302 9587707
"1021" "chr4" 81936076 81941365
"919" "chr3" 107543977 107563387
"376" "chr12" 45953472 46175470
"639" "chr16" 29907604 29946603
"146" "chr1" 62815542 62843665
"512" "chr14" 20894881 20902348
"1386" "chr8" 129588144 130134730
"1135" "chr5" 74591350 74595502
"1132" "chr5" 54496459 54511442
"539" "chr15" 28133520 28401800
"1414" "chr8" 127941962 128016733
"118" "chr1" 82583495 82718634
"789" "chr19" 36186454 36194334
"988" "chr4" 108040381 108055954
"741" "chr18" 13845867 14130229
"1195" "chr6" 120957257 121031608
"98" "chr1" 82583495 82718634
"1102" "chr5" 93032076 93035605
"232" "chr11" 56825457 57143746
"537" "chr15" 63760651 63829524
"614" "chr16" 4039976 4077810
"1277" "chr7" 77080882 77080913
"701" "chr17" 8358400 8389333
"119" "chr1" 73437958 73454143
"750" "chr18" 43483935 43532926
"24" "chr1" 193175859 193220920
"1344" "chr8" 87848827 87904877
"921" "chr3" 121822947 121831575
"266" "chr11" 98249985 98261804
"96" "chr1" 120368348 120442036
"863" "chr2" 21127413 21136636
"699" "chr17" 27236602 27238385
"259" "chr11" 3102394 3144584
"466" "chr13" 12361693 12432999
"447" "chr13" 118391506 118765609
"278" "chr11" 106515531 106576498
