"chromosome" "start" "end"
"11554" "chr5" 31505040 31522918
"4682" "chr14" 20894881 20902348
"3149" "chr11" 120421617 120434250
"2553" "chr11" 61022246 61031916
"11446" "chr5" 21291100 21309602
"7213" "chr17" 80014239 80081492
"14476" "chr7" 127245939 127264500
"1290" "chr1" 173164990 173177243
"5276" "chr15" 12387552 12669679
"683" "chr1" 99717670 99992209
"9146" "chr2" 152219347 152223782
"8478" "chr2" 18620648 18671232
"3326" "chr12" 10376849 10396975
"4111" "chr13" 28234352 28243464
"2640" "chr11" 66025230 66339628
"14309" "chr7" 116942162 116984441
"11800" "chr5" 72671282 72690001
"10703" "chr4" 82543830 82667006
"15026" "chr8" 41365110 41372061
"7897" "chr19" 9028339 9040700
"15854" "chr8" 129588144 130134730
"11113" "chr4" 129774847 129776519
"2114" "chr10" 115855176 115858291
"2804" "chr11" 79902913 79949293
"1762" "chr10" 62275456 62328011
"5341" "chr15" 38591708 38621638
"5562" "chr15" 77789427 77801254
"7601" "chr18" 53405315 53550479
"7332" "chr17" 88886702 88889866
"16744" "chr9" 123276057 123371782
"1816" "chr10" 70397249 70411237
"5804" "chr16" 5008821 5011851
"6584" "chr17" 7002738 7032339
"16700" "chr9" 116852240 117160693
"14009" "chr7" 80520392 80564783
"9489" "chr3" 27764987 27795290
"657" "chr1" 95302516 95342229
"13443" "chr6" 115852647 115876708
"13514" "chr6" 124758692 124760632
"966" "chr1" 138592787 138622305
"1423" "chr1" 188447526 188529868
"7295" "chr17" 86567748 87054029
"3367" "chr12" 16543441 16587710
"7409" "chr18" 13165498 13181391
"8146" "chr19" 40296728 40346023
"16656" "chr9" 109778082 109796394
"15324" "chr8" 96703126 96704227
"5958" "chr16" 23965137 23988698
"11702" "chr5" 52508551 52509762
"12522" "chr5" 144152408 144165427
"5072" "chr14" 75597875 75612333
"2250" "chr11" 6963491 7078508
"10363" "chr4" 32325924 32668174
"16381" "chr9" 67065942 67387422
"5439" "chr15" 59085453 59085486
"5750" "chr15" 99984826 100046097
"13533" "chr6" 129163398 129183992
"14895" "chr8" 29762521 30330108
"6246" "chr16" 45746355 45844491
"1735" "chr10" 59342338 59360764
"15415" "chr8" 108692774 108722604
"6201" "chr16" 38598455 38713148
"15305" "chr8" 92770938 92872140
"4401" "chr13" 69636836 69672717
"2311" "chr11" 18913891 18915157
"12481" "chr5" 140247769 140251607
"2104" "chr10" 111409812 111424139
"12951" "chr6" 47110742 47114232
"8624" "chr2" 44488648 44782756
"11054" "chr4" 124419121 124478755
"6568" "chr17" 5975640 6044290
"52" "chr1" 23107312 23109092
"2973" "chr11" 100277010 100286139
"5718" "chr15" 98915184 98918159
"13836" "chr7" 47518074 47525123
"35" "chr1" 16678536 16699680
"2174" "chr10" 120983515 121023803
"10730" "chr4" 86394458 86476071
"6210" "chr16" 42725814 42875693
"9413" "chr2" 180234680 180279684
"14835" "chr8" 23573085 23587327
"11504" "chr5" 24606792 24608185
"15021" "chr8" 38056635 38057788
"4354" "chr13" 58506426 58512505
